"st","YEAR.id","State Name","Medicaid","med_month","med_day","med_year","population","Ever_medicaid","Estab_pct_ACS","Estab_pct_CPS","naics","estab","industry","estab_pop","Labor.Force"
25,2014,"Massachusetts",1,1,1,2014,6763652,1,0.0609781101808257,0.0575456234768781,"00",502274,"total",0.140759236839745,3568320
25,2015,"Massachusetts",1,1,1,2014,6795891,1,0.057614985429168,0.0552964016436273,"00",514298,"total",0.143285915717019,3589313
25,2016,"Massachusetts",1,1,1,2014,6826022,1,0.0573473830556952,0.051328084419798,"00",529496,"total",0.1463693223063,3617534
25,2017,"Massachusetts",1,1,1,2014,6863246,1,0.0553062500431592,0.0481438828509514,"00",559925,"total",0.151759000446394,3689567
26,2001,"Michigan",0,NA,NA,NA,9991120,1,0.0574888193695881,0.0609969305221994,"00",535202,"total",0.104532375618266,5119964
26,2002,"Michigan",0,NA,NA,NA,10015710,1,0.0555320072423944,0.0490697414059966,"00",555736,"total",0.110767312425306,5017148
26,2003,"Michigan",0,NA,NA,NA,10041152,1,0.052558416654487,0.0621768063222864,"00",582296,"total",0.115813861998174,5027861
26,2004,"Michigan",0,NA,NA,NA,10055315,1,0.0560895457446308,0.0569408780791453,"00",611018,"total",0.120697655354146,5062385
26,2005,"Michigan",0,NA,NA,NA,10051137,1,0.055157143131162,0.0587922788118487,"00",638505,"total",0.125612293658586,5083141
26,2006,"Michigan",0,NA,NA,NA,10036081,1,0.055495540820737,0.0680527528476434,"00",627284,"total",0.123562171794999,5076667
26,2007,"Michigan",0,NA,NA,NA,10001284,1,0.0535076139597584,0.0598623123641436,"00",648573,"total",0.129426677413426,5011123
26,2008,"Michigan",0,NA,NA,NA,9946889,1,0.0506660734247511,0.057977521721534,"00",640719,"total",0.130188514775359,4921471
26,2009,"Michigan",0,NA,NA,NA,9901591,1,0.0525290424273112,0.0536988294113057,"00",666395,"total",0.135900521051075,4903550
26,2010,"Michigan",0,NA,NA,NA,9877574,1,0.0495573812455202,0.0546770615978406,"00",679752,"total",0.141645571835921,4798964
26,2011,"Michigan",0,NA,NA,NA,9881521,1,0.0509166363350723,0.0490622791332045,"00",687228,"total",0.146681550509373,4685170
26,2012,"Michigan",0,NA,NA,NA,9896930,1,0.0501299934185266,0.0426846672353907,"00",687629,"total",0.147158784608731,4672701
26,2013,"Michigan",0,NA,NA,NA,9913349,1,0.052831566401982,0.0456638493800372,"00",687136,"total",0.145457870867443,4723952
26,2014,"Michigan",1,1,1,2014,9930589,1,0.0490539638423419,0.048963608009365,"00",696730,"total",0.146329025980422,4761393
26,2015,"Michigan",1,1,1,2014,9932573,1,0.0463156706732126,0.0450906337279706,"00",700254,"total",0.147147271460737,4758865
26,2016,"Michigan",1,1,1,2014,9951890,1,0.0471615580149929,0.0470916878438883,"00",703595,"total",0.145160564900603,4847012
26,2017,"Michigan",1,1,1,2014,9976447,1,0.0507360253515901,0.0436997897361747,"00",715824,"total",0.146561869639246,4884108
27,2001,"Minnesota",0,NA,NA,NA,4982796,1,0.0720210772571056,0.0899894043275121,"00",324967,"total",0.114215230056347,2845216
27,2002,"Minnesota",0,NA,NA,NA,5018935,1,0.070640787074578,0.0848921446348236,"00",333272,"total",0.116544523013795,2859611
27,2003,"Minnesota",0,NA,NA,NA,5053572,1,0.0722219925753973,0.0736368613362028,"00",348727,"total",0.121310187736201,2874672
27,2004,"Minnesota",0,NA,NA,NA,5087713,1,0.0721245434362243,0.0829864893958208,"00",361080,"total",0.125355891931751,2880439
27,2005,"Minnesota",0,NA,NA,NA,5119598,1,0.0711581845704331,0.0696652566558812,"00",373419,"total",0.129669505430112,2879775
27,2006,"Minnesota",0,NA,NA,NA,5163555,1,0.0680047534107659,0.0771781089129458,"00",376864,"total",0.130500349915629,2887839
27,2007,"Minnesota",0,NA,NA,NA,5207203,1,0.0665041991936367,0.067223776399646,"00",386984,"total",0.133149004368982,2906398
27,2008,"Minnesota",0,NA,NA,NA,5247018,1,0.0598740818185429,0.0600587272928571,"00",376397,"total",0.128678863678631,2925088
27,2009,"Minnesota",0,NA,NA,NA,5281203,1,0.0636538381804081,0.0609354043254248,"00",378154,"total",0.12853719993433,2941981
27,2010,"Minnesota",0,NA,NA,NA,5310584,1,0.0581730110441914,0.0555848791149745,"00",381759,"total",0.129902844830754,2938804
27,2011,"Minnesota",0,NA,NA,NA,5345668,1,0.0616356639325434,0.0629110524886502,"00",387440,"total",0.131501106307702,2946287
27,2012,"Minnesota",0,NA,NA,NA,5376550,1,0.0585649994026882,0.0623253716294938,"00",388555,"total",0.131875833652936,2946370
27,2013,"Minnesota",0,NA,NA,NA,5413693,1,0.0550719516252076,0.0537462933537323,"00",388900,"total",0.131447306158318,2958600
27,2014,"Minnesota",1,1,1,2014,5451522,1,0.0558393750602682,0.0573199781477934,"00",394690,"total",0.132766552341689,2972812
27,2015,"Minnesota",1,1,1,2014,5482503,1,0.0520243334119771,0.074521616789854,"00",397378,"total",0.132444190547547,3000343
27,2016,"Minnesota",1,1,1,2014,5523409,1,0.0544943331500464,0.0726884608122444,"00",403926,"total",0.133078198094195,3035253
27,2017,"Minnesota",1,1,1,2014,5568155,1,0.051399568516951,0.0583154591887206,"00",409860,"total",0.134056570263423,3057366
28,2001,"Mississippi",0,NA,NA,NA,2852994,0,0.0639691691512968,0.104119360911404,"00",139078,"total",0.107467673462954,1294138
28,2002,"Mississippi",0,NA,NA,NA,2858681,0,0.0656276284158221,0.0828534279491641,"00",145183,"total",0.112874221469294,1286237
28,2003,"Mississippi",0,NA,NA,NA,2868312,0,0.0690645344583629,0.055389546129602,"00",153529,"total",0.117985601559114,1301252
28,2004,"Mississippi",0,NA,NA,NA,2889010,0,0.0669283827249445,0.0832224511611303,"00",156166,"total",0.11892870796417,1313106
28,2005,"Mississippi",0,NA,NA,NA,2905943,0,0.0647981643855647,0.0727344740938339,"00",163761,"total",0.124305643059163,1317406
28,2006,"Mississippi",0,NA,NA,NA,2904978,0,0.0644488084897466,0.0707793674382878,"00",175064,"total",0.135690119557424,1290175
28,2007,"Mississippi",0,NA,NA,NA,2928350,0,0.0639107888035069,0.089468242618016,"00",185968,"total",0.14266612147579,1303519
28,2008,"Mississippi",0,NA,NA,NA,2947806,0,0.0562600646303693,0.0804856879012265,"00",185926,"total",0.142278727828016,1306773
28,2009,"Mississippi",0,NA,NA,NA,2958774,0,0.0594642941412425,0.074347921662141,"00",188955,"total",0.148874195769705,1269226
28,2010,"Mississippi",0,NA,NA,NA,2970036,0,0.0555260161773334,0.0537571613058064,"00",196184,"total",0.150147557645445,1306608
28,2011,"Mississippi",0,NA,NA,NA,2978470,0,0.0546542936571404,0.059228594295717,"00",198171,"total",0.147578890300518,1342814
28,2012,"Mississippi",0,NA,NA,NA,2983767,0,0.0518033465859272,0.0574809296541764,"00",199777,"total",0.151742582138799,1316552
28,2013,"Mississippi",0,NA,NA,NA,2988797,0,0.0519685854965023,0.0626491815116912,"00",201939,"total",0.158696316740367,1272487
28,2014,"Mississippi",0,NA,NA,NA,2990623,0,0.056028787599188,0.0562100397291452,"00",209279,"total",0.167398826730828,1250182
28,2015,"Mississippi",0,NA,NA,NA,2988693,0,0.0496954341720537,0.065483275544798,"00",211955,"total",0.167572965058363,1264852
28,2016,"Mississippi",0,NA,NA,NA,2988298,0,0.0560719982452554,0.0523279635807683,"00",214804,"total",0.168018428493768,1278455
28,2017,"Mississippi",0,NA,NA,NA,2989663,0,0.0535156846333233,0.0576087426496893,"00",219596,"total",0.171879904165033,1277613
29,2001,"Missouri",0,NA,NA,NA,5641142,0,0.0737828131496323,0.086391974776755,"00",319456,"total",0.106433003773145,3001475
29,2002,"Missouri",0,NA,NA,NA,5674825,0,0.0686874687113976,0.0846283672027471,"00",329854,"total",0.109917845029881,3000914
29,2003,"Missouri",0,NA,NA,NA,5709403,0,0.0660850941952769,0.0856612653301802,"00",347644,"total",0.115082659675188,3020820
29,2004,"Missouri",0,NA,NA,NA,5747741,0,0.0707565171241215,0.0708668525415942,"00",361808,"total",0.119976747972494,3015651
29,2005,"Missouri",0,NA,NA,NA,5790300,0,0.0634996168287845,0.0756216570408512,"00",375352,"total",0.124728844558814,3009344
29,2006,"Missouri",0,NA,NA,NA,5842704,0,0.0649761552639531,0.0723226121692396,"00",380499,"total",0.125589786701442,3029697
29,2007,"Missouri",0,NA,NA,NA,5887612,0,0.0647448877093554,0.0835119723467355,"00",394913,"total",0.130137528002209,3034582
29,2008,"Missouri",0,NA,NA,NA,5923916,0,0.0571861092081363,0.0673394563164014,"00",381644,"total",0.126002106396115,3028870
29,2009,"Missouri",0,NA,NA,NA,5961088,0,0.059210596845753,0.0641815079669072,"00",384979,"total",0.126240172404295,3049576
29,2010,"Missouri",0,NA,NA,NA,5996231,0,0.0584554755282304,0.0610739602652702,"00",390169,"total",0.127652467173173,3056494
29,2011,"Missouri",0,NA,NA,NA,6009641,0,0.0579601993313635,0.0613219262989709,"00",395523,"total",0.129773577142542,3047793
29,2012,"Missouri",0,NA,NA,NA,6024081,0,0.0576131944778394,0.0654275206386402,"00",394685,"total",0.130460751868565,3025316
29,2013,"Missouri",0,NA,NA,NA,6040658,0,0.0533468030810904,0.0529226203235397,"00",393292,"total",0.13021991156918,3020214
29,2014,"Missouri",0,NA,NA,NA,6056293,0,0.0542292654165033,0.0553527747494568,"00",397713,"total",0.130529646852868,3046917
29,2015,"Missouri",0,NA,NA,NA,6071745,0,0.0556593824824252,0.0699014957137095,"00",402091,"total",0.130745696367295,3075367
29,2016,"Missouri",0,NA,NA,NA,6087203,0,0.0541035908008834,0.0705003866909153,"00",409303,"total",0.132833138395992,3081332
29,2017,"Missouri",0,NA,NA,NA,6108612,0,0.054189653546942,0.0779899985065009,"00",418097,"total",0.13647730644549,3063491
30,2001,"Montana",0,NA,NA,NA,906961,1,0.12292533214877,0.121809387448872,"00",71298,"total",0.152977677077165,466068
30,2002,"Montana",0,NA,NA,NA,911667,1,0.116090133026081,0.113033496203373,"00",72988,"total",0.156220971297703,467210
30,2003,"Montana",0,NA,NA,NA,919630,1,0.117203434643568,0.127410039125348,"00",76401,"total",0.162040925402764,471492
30,2004,"Montana",0,NA,NA,NA,930009,1,0.109913231296317,0.137619318400418,"00",78703,"total",0.163869675479618,480278
30,2005,"Montana",0,NA,NA,NA,940102,1,0.104986519351385,0.137905365753941,"00",80851,"total",0.16633886212047,486062
30,2006,"Montana",0,NA,NA,NA,952692,1,0.110681435577134,0.123011005908773,"00",80969,"total",0.164030703718035,493621
30,2007,"Montana",0,NA,NA,NA,964706,1,0.103397993365225,0.122676532165288,"00",83999,"total",0.167304689367262,502072
30,2008,"Montana",0,NA,NA,NA,976415,1,0.0880304918273107,0.133302184918035,"00",81999,"total",0.16104697522596,509162
30,2009,"Montana",0,NA,NA,NA,983982,1,0.0933083569530124,0.129953531788998,"00",82866,"total",0.165394264911052,501021
30,2010,"Montana",0,NA,NA,NA,990898,1,0.0906285576158321,0.109616814048042,"00",83651,"total",0.167125181557912,500529
30,2011,"Montana",0,NA,NA,NA,997221,1,0.0850558931624095,0.127789876947222,"00",84070,"total",0.167727390619077,501230
30,2012,"Montana",0,NA,NA,NA,1003754,1,0.0903119742344854,0.129143641885976,"00",84767,"total",0.167360324110453,506494
30,2013,"Montana",0,NA,NA,NA,1013564,1,0.0809248218925407,0.110927362938638,"00",84251,"total",0.164944477509084,510784
30,2014,"Montana",0,NA,NA,NA,1021891,1,0.10302667480227,0.0877380984008503,"00",86186,"total",0.16825184872834,512244
30,2015,"Montana",0,NA,NA,NA,1030503,1,0.0883676422446106,0.0909374335452398,"00",86969,"total",0.168004095352162,517660
30,2016,"Montana",1,1,1,2016,1040863,1,0.0863429498744642,0.0979966914532154,"00",88689,"total",0.169739388058587,522501
30,2017,"Montana",1,1,1,2016,1053090,1,0.0883879485456003,0.0940314097708256,"00",91520,"total",0.174133754968387,525573
31,2001,"Nebraska",0,NA,NA,NA,1719836,0,0.0782564260360232,0.0997706949117196,"00",105475,"total",0.11093628223831,950771
31,2002,"Nebraska",0,NA,NA,NA,1728292,0,0.0884219277374491,0.098385749793678,"00",106385,"total",0.111486978601752,954237
31,2003,"Nebraska",0,NA,NA,NA,1738643,0,0.0799378024021815,0.101419774569133,"00",109936,"total",0.114009443403359,964271
31,2004,"Nebraska",0,NA,NA,NA,1749370,0,0.0805265444544741,0.0925875083534467,"00",113708,"total",0.117225950782998,969990
31,2005,"Nebraska",0,NA,NA,NA,1761497,0,0.0821419672006521,0.100964041209045,"00",116210,"total",0.119434492426531,973002
31,2006,"Nebraska",0,NA,NA,NA,1772693,0,0.0756509583233055,0.0896491886990562,"00",117336,"total",0.120957466548461,970060
31,2007,"Nebraska",0,NA,NA,NA,1783440,0,0.0815526834899401,0.0860375177676021,"00",121789,"total",0.124430790104713,978769
31,2008,"Nebraska",0,NA,NA,NA,1796378,0,0.0749262938086799,0.0972966535740461,"00",120019,"total",0.12125997457985,989766
31,2009,"Nebraska",0,NA,NA,NA,1812683,0,0.0649118752386503,0.0855470498309631,"00",122338,"total",0.123375713123078,991589
31,2010,"Nebraska",0,NA,NA,NA,1830429,0,0.0696266588379302,0.0914839766197346,"00",123900,"total",0.124723172941413,993400
31,2011,"Nebraska",0,NA,NA,NA,1840538,0,0.0643557693433049,0.0780478982912266,"00",125943,"total",0.125533009191979,1003266
31,2012,"Nebraska",0,NA,NA,NA,1853323,0,0.0695534729553591,0.087001530135688,"00",127097,"total",0.125219829535434,1014991
31,2013,"Nebraska",0,NA,NA,NA,1865414,0,0.061493192702585,0.0873684486126882,"00",127427,"total",0.125136870139576,1018301
31,2014,"Nebraska",0,NA,NA,NA,1879522,0,0.0582769415264334,0.0725670596171925,"00",129519,"total",0.128132478450685,1010821
31,2015,"Nebraska",0,NA,NA,NA,1891507,0,0.0624019901001479,0.0566015266382564,"00",131518,"total",0.130599882823749,1007030
31,2016,"Nebraska",0,NA,NA,NA,1905924,0,0.0576851026822199,0.0638949221358145,"00",134524,"total",0.133296208622379,1009211
31,2017,"Nebraska",0,NA,NA,NA,1917575,0,0.0584475173326923,0.0676334422812775,"00",137380,"total",0.135753000291506,1011985
32,2001,"Nevada",0,NA,NA,NA,2098399,1,0.048479641296999,0.048184855741172,"00",119228,"total",0.107211518575069,1112082
32,2002,"Nevada",0,NA,NA,NA,2173791,1,0.0523995024194075,0.0576094002647058,"00",128073,"total",0.113372046703905,1129670
32,2003,"Nevada",0,NA,NA,NA,2248850,1,0.0559647564358809,0.0488771448104346,"00",142729,"total",0.124432126781646,1147043
32,2004,"Nevada",0,NA,NA,NA,2346222,1,0.0538628496187908,0.0477434457786834,"00",151875,"total",0.12896588677156,1177637
32,2005,"Nevada",0,NA,NA,NA,2432143,1,0.0505026741958957,0.063484889219637,"00",163512,"total",0.133606464280666,1223833
32,2006,"Nevada",0,NA,NA,NA,2522658,1,0.050760998547459,0.041776625544811,"00",167221,"total",0.130100776538743,1285319
32,2007,"Nevada",0,NA,NA,NA,2601072,1,0.0475033593606765,0.0494674215127821,"00",174492,"total",0.131157645187647,1330399
32,2008,"Nevada",0,NA,NA,NA,2653630,1,0.0496371835494371,0.0471084066334986,"00",168014,"total",0.123215811378179,1363575
32,2009,"Nevada",0,NA,NA,NA,2684665,1,0.044827720268805,0.0522166609809038,"00",174457,"total",0.129294353150261,1349301
32,2010,"Nevada",0,NA,NA,NA,2704642,1,0.0474291004435031,0.0515694546032144,"00",177181,"total",0.130416317036906,1358580
32,2011,"Nevada",0,NA,NA,NA,2712799,1,0.0455662734322402,0.0541845237351147,"00",180711,"total",0.131606506660763,1373116
32,2012,"Nevada",0,NA,NA,NA,2744566,1,0.0522375839570411,0.0497678192601949,"00",184246,"total",0.133862449623397,1376383
32,2013,"Nevada",0,NA,NA,NA,2776972,1,0.0488483241820932,0.0538465814211785,"00",192044,"total",0.139045540737888,1381159
32,2014,"Nevada",1,1,1,2014,2819012,1,0.0514853997147832,0.0538344931193151,"00",199538,"total",0.143679555520673,1388771
32,2015,"Nevada",1,1,1,2014,2868666,1,0.0501835462653673,0.0485091054086811,"00",205980,"total",0.146318905314662,1407747
32,2016,"Nevada",1,1,1,2014,2919772,1,0.0497456380638806,0.0520651147432468,"00",220786,"total",0.154888088364768,1425455
32,2017,"Nevada",1,1,1,2014,2972405,1,0.0530388255196666,0.0555478006400841,"00",233007,"total",0.159511239385633,1460756
33,2001,"New Hampshire",0,NA,NA,NA,1255517,1,0.0787600037850222,0.0681785099712923,"00",90333,"total",0.129462532640443,697754
33,2002,"New Hampshire",0,NA,NA,NA,1269089,1,0.0798135624722989,0.0822628987029876,"00",94232,"total",0.134180672298822,702277
33,2003,"New Hampshire",0,NA,NA,NA,1279840,1,0.077345574638218,0.0759834306377597,"00",99830,"total",0.141098285421917,707521
33,2004,"New Hampshire",0,NA,NA,NA,1290121,1,0.0832357603806977,0.0831561176558359,"00",103075,"total",0.143922511533349,716184
33,2005,"New Hampshire",0,NA,NA,NA,1298492,1,0.076227544080779,0.0756606652843009,"00",106642,"total",0.146919555336962,725853
33,2006,"New Hampshire",0,NA,NA,NA,1308389,1,0.0816147155498007,0.0933138503068563,"00",105798,"total",0.144560632580866,731859
33,2007,"New Hampshire",0,NA,NA,NA,1312540,1,0.0881161860206612,0.0776475651590111,"00",108506,"total",0.147039851694456,737936
33,2008,"New Hampshire",0,NA,NA,NA,1315906,1,0.0755499720900738,0.0714994131913934,"00",104570,"total",0.140778894878271,742796
33,2009,"New Hampshire",0,NA,NA,NA,1316102,1,0.0742330285916083,0.0784035663801456,"00",104015,"total",0.139758896923867,744246
33,2010,"New Hampshire",0,NA,NA,NA,1316759,1,0.0787746200028973,0.0770233809591687,"00",102823,"total",0.139277867628932,738258
33,2011,"New Hampshire",0,NA,NA,NA,1319815,1,0.0720734668600577,0.0799841492112902,"00",102712,"total",0.139497108523405,736302
33,2012,"New Hampshire",0,NA,NA,NA,1323962,1,0.0740481577792037,0.082467583829234,"00",102310,"total",0.138052103840658,741097
33,2013,"New Hampshire",0,NA,NA,NA,1326408,1,0.0641217775622144,0.0729758754932713,"00",101795,"total",0.137322352401573,741285
33,2014,"New Hampshire",1,8,15,2014,1333223,1,0.0678781656856013,0.0801326038876917,"00",103345,"total",0.139032015907055,743318
33,2015,"New Hampshire",1,8,15,2014,1336294,1,0.065881694047365,0.0728351666898953,"00",104437,"total",0.140051924227104,745702
33,2016,"New Hampshire",1,8,15,2014,1342373,1,0.0664045319283545,0.0757041691390331,"00",105503,"total",0.140389886892881,751500
33,2017,"New Hampshire",1,8,15,2014,1349767,1,0.0627855140039696,0.0594147023546606,"00",107083,"total",0.141891363658649,754683
34,2001,"New Jersey",0,NA,NA,NA,8492671,1,0.0451074315715976,0.0495108770925175,"00",495109,"total",0.115441561191076,4288828
34,2002,"New Jersey",0,NA,NA,NA,8552643,1,0.0474161190689602,0.0482707791660348,"00",513492,"total",0.118146205388471,4346242
34,2003,"New Jersey",0,NA,NA,NA,8601402,1,0.0479690023895964,0.0497228946166093,"00",537932,"total",0.123743459803021,4347155
34,2004,"New Jersey",0,NA,NA,NA,8634561,1,0.0541649360330301,0.0430426912483992,"00",556973,"total",0.128064146462821,4349172
34,2005,"New Jersey",0,NA,NA,NA,8651974,1,0.0494504117868666,0.0480482712623598,"00",573134,"total",0.130507471115179,4391580
34,2006,"New Jersey",0,NA,NA,NA,8661679,1,0.0507908307238967,0.0430648155406841,"00",573819,"total",0.129067586169667,4445880
34,2007,"New Jersey",0,NA,NA,NA,8677885,1,0.0499407703104201,0.0428549181360842,"00",590485,"total",0.132938223242829,4441800
34,2008,"New Jersey",0,NA,NA,NA,8711090,1,0.0460965246712303,0.053030303117479,"00",580217,"total",0.128810218733412,4504433
34,2009,"New Jersey",0,NA,NA,NA,8755602,1,0.0457591140181282,0.0509406335825806,"00",597883,"total",0.131384203473529,4550646
34,2010,"New Jersey",0,NA,NA,NA,8801624,1,0.0465662775620532,0.0424519482604424,"00",604723,"total",0.132750587662985,4555332
34,2011,"New Jersey",0,1,1,2014,8827783,1,0.0457309694528604,0.0409690711149777,"00",615142,"total",0.134743749168998,4565273
34,2012,"New Jersey",0,1,1,2014,8845483,1,0.0478271741081733,0.0417734103883204,"00",620282,"total",0.135195597940207,4588034
34,2013,"New Jersey",0,1,1,2014,8858362,1,0.0429576843769838,0.0451327147550814,"00",629395,"total",0.138372455264384,4548557
34,2014,"New Jersey",1,1,1,2014,8866780,1,0.0463645667490974,0.0342856027542703,"00",653271,"total",0.145590634360291,4487040
34,2015,"New Jersey",1,1,1,2014,8870869,1,0.0491544158942922,0.0425006993422181,"00",670765,"total",0.149480456995496,4487309
34,2016,"New Jersey",1,1,1,2014,8874516,1,0.0451822602902446,0.0517472534033232,"00",693239,"total",0.154955988001198,4473780
34,2017,"New Jersey",1,1,1,2014,8888543,1,0.0433722073200028,0.0452458352521004,"00",716918,"total",0.160935878461331,4454681
35,2001,"New Mexico",0,NA,NA,NA,1831690,1,0.0785880513435875,0.0802002809865295,"00",100502,"total",0.117142024593508,857950
35,2002,"New Mexico",0,NA,NA,NA,1855309,1,0.0767138762787389,0.082003578944472,"00",103298,"total",0.118122490706107,874499
35,2003,"New Mexico",0,NA,NA,NA,1877574,1,0.0838474734747176,0.0901788784253792,"00",107751,"total",0.12110419022229,889738
35,2004,"New Mexico",0,NA,NA,NA,1903808,1,0.074671486257367,0.104458204739391,"00",112223,"total",0.124378925528696,902267
35,2005,"New Mexico",0,NA,NA,NA,1932274,1,0.0771991489553459,0.0820015911465715,"00",116614,"total",0.127008502884577,918159
35,2006,"New Mexico",0,NA,NA,NA,1962137,1,0.0732691868288101,0.0829025643066541,"00",117752,"total",0.126874532646337,928098
35,2007,"New Mexico",0,NA,NA,NA,1990070,1,0.0763551753304002,0.0805462554293516,"00",123567,"total",0.132294607555012,934029
35,2008,"New Mexico",0,NA,NA,NA,2010662,1,0.0654533637327525,0.0817081875835009,"00",121162,"total",0.128274839870838,944550
35,2009,"New Mexico",0,NA,NA,NA,2036802,1,0.0711708906267297,0.102637223624823,"00",121096,"total",0.128777308922616,940352
35,2010,"New Mexico",0,NA,NA,NA,2065932,1,0.0708601355870623,0.0762864464340618,"00",120470,"total",0.128695165411799,936088
35,2011,"New Mexico",0,NA,NA,NA,2080395,1,0.067349953421452,0.0952361371227042,"00",121017,"total",0.130076153726266,930355
35,2012,"New Mexico",0,NA,NA,NA,2087549,1,0.0636781585761178,0.106991893422459,"00",120916,"total",0.130326343994464,927794
35,2013,"New Mexico",0,NA,NA,NA,2092792,1,0.0650912368444799,0.0962330554403825,"00",119195,"total",0.129012740542547,923901
35,2014,"New Mexico",1,1,1,2014,2090342,1,0.0593918232853558,0.0774093328049322,"00",121343,"total",0.130230167060546,931758
35,2015,"New Mexico",1,1,1,2014,2090211,1,0.0638534473895683,0.0716105140854381,"00",121279,"total",0.129712518837241,934983
35,2016,"New Mexico",1,1,1,2014,2092789,1,0.0632351952504822,0.0603601329787249,"00",122042,"total",0.130285279947562,936729
35,2017,"New Mexico",1,1,1,2014,2093395,1,0.0661000424491801,0.0793192837260169,"00",124091,"total",0.132680326282554,935263
36,2001,"New York",0,NA,NA,NA,19082838,1,0.0632150315443995,0.0667060033013863,"00",1258822,"total",0.13754977733235,9151756
36,2002,"New York",0,NA,NA,NA,19137800,1,0.0589067626115484,0.0568392619713668,"00",1302672,"total",0.14044189206366,9275523
36,2003,"New York",0,NA,NA,NA,19175939,1,0.0586111443988799,0.063285456911718,"00",1361705,"total",0.146998354708308,9263403
36,2004,"New York",0,NA,NA,NA,19171567,1,0.0636045123160559,0.0663761941706421,"00",1410301,"total",0.150738181549224,9355964
36,2005,"New York",0,NA,NA,NA,19132610,1,0.0626686712393623,0.0653475412564071,"00",1443483,"total",0.152574007192361,9460871
36,2006,"New York",0,NA,NA,NA,19104631,1,0.0629730080466195,0.0632516036070564,"00",1473564,"total",0.154978881297748,9508160
36,2007,"New York",0,NA,NA,NA,19132335,1,0.0640710226816866,0.0601424874151482,"00",1546788,"total",0.162442512463684,9522064
36,2008,"New York",0,NA,NA,NA,19212436,1,0.0583365332254725,0.0505614843592048,"00",1513170,"total",0.156565401029863,9664779
36,2009,"New York",0,NA,NA,NA,19307066,1,0.0605992401641411,0.0586516815938354,"00",1543657,"total",0.160006007777771,9647494
36,2010,"New York",0,NA,NA,NA,19392283,1,0.0604953305278589,0.059092633554081,"00",1575780,"total",0.164223090280492,9595362
36,2011,"New York",0,NA,NA,NA,19498514,1,0.0582161412792841,0.0585265211334904,"00",1596899,"total",0.167787844751229,9517370
36,2012,"New York",0,NA,NA,NA,19574549,1,0.0588218613269538,0.0555988260877286,"00",1612106,"total",0.167713873145073,9612240
36,2013,"New York",0,NA,NA,NA,19628043,1,0.0572493060000467,0.0580840594237766,"00",1626367,"total",0.168375527284191,9659165
36,2014,"New York",1,1,1,2014,19656330,1,0.0573542937175621,0.0537573389340682,"00",1674297,"total",0.175697644621048,9529422
36,2015,"New York",1,1,1,2014,19661411,1,0.0593243947701102,0.063294543070285,"00",1685636,"total",0.176344759614565,9558753
36,2016,"New York",1,1,1,2014,19641589,1,0.0569320286366782,0.0680935424285455,"00",1708374,"total",0.178851035255882,9551938
36,2017,"New York",1,1,1,2014,19590719,1,0.0588845876878997,0.0594060063821774,"00",1751378,"total",0.183408073533382,9549078
37,2001,"North Carolina",0,NA,NA,NA,8210122,0,0.0672246479567084,0.065077600848657,"00",474905,"total",0.113117246494629,4198343
37,2002,"North Carolina",0,NA,NA,NA,8326201,0,0.0634512683174907,0.0582155213617001,"00",492802,"total",0.117762436754922,4184713
37,2003,"North Carolina",0,NA,NA,NA,8422501,0,0.0672939661375013,0.0604023211974993,"00",523391,"total",0.122987756233794,4255635
37,2004,"North Carolina",0,NA,NA,NA,8553152,0,0.0661409166079984,0.0676950557218216,"00",551040,"total",0.129560900371138,4253135
37,2005,"North Carolina",0,NA,NA,NA,8705407,0,0.062467289736925,0.0727131712170828,"00",583495,"total",0.135148437568762,4317438
37,2006,"North Carolina",0,NA,NA,NA,8917270,0,0.0611401172649754,0.0661523812463726,"00",604618,"total",0.136022995885911,4444969
37,2007,"North Carolina",0,NA,NA,NA,9118037,0,0.0628235639731578,0.0746164787362068,"00",644873,"total",0.142896585650136,4512865
37,2008,"North Carolina",0,NA,NA,NA,9309449,0,0.0584035787065212,0.0722353724422081,"00",629728,"total",0.138096398271865,4560061
37,2009,"North Carolina",0,NA,NA,NA,9449566,0,0.0595680471662911,0.0677208372039597,"00",631347,"total",0.138125906841854,4570808
37,2010,"North Carolina",0,NA,NA,NA,9561558,0,0.0550885412791527,0.0630851999672259,"00",640686,"total",0.138775598614163,4616705
37,2011,"North Carolina",0,NA,NA,NA,9656754,0,0.0555611199635784,0.0634511747766386,"00",656617,"total",0.141723678788987,4633079
37,2012,"North Carolina",0,NA,NA,NA,9749123,0,0.0579348695367796,0.0593947830493983,"00",669501,"total",0.143053721239461,4680067
37,2013,"North Carolina",0,NA,NA,NA,9843599,0,0.0528480962393962,0.0593222736717922,"00",679725,"total",0.144839754141589,4692945
37,2014,"North Carolina",0,NA,NA,NA,9933944,0,0.055850445764611,0.0617516056448806,"00",706538,"total",0.150429782345241,4696796
37,2015,"North Carolina",0,NA,NA,NA,10033079,0,0.0548364258514895,0.0585223607472508,"00",722639,"total",0.151492675768455,4770125
37,2016,"North Carolina",0,NA,NA,NA,10156679,0,0.0536864100204781,0.0592997481262275,"00",742858,"total",0.152849364597106,4860066
37,2017,"North Carolina",0,NA,NA,NA,10270800,0,0.0556940583189661,0.0494493295950662,"00",760638,"total",0.154092338958658,4936248
38,2001,"North Dakota",0,NA,NA,NA,639062,1,0.102007310027707,0.104524335662843,"00",40615,"total",0.118821237156833,341816
